Palavra,Frequência,Separação
apesar,302,a-pe-'sar
legal,302,le-'gal
espinho,299,es-'pi-nho
cena,298,'ce-na
nele,298,'ne-le
promessa,297,pro-'mes-sa
bailão,297,bai-'lão
debaixo,296,de-'bai-xo
praça,295,'pra-ça
altar,294,al-'tar
acordado,294,a-cor-'da-do
parabéns,294,pa-ra-'béns
engano,293,en-'ga-no
vindo,292,'vin-do
compreender,292,com-pre-en-'der
pago,292,'pa-go
fogueira,292,fo-'guei-ra
namoro,291,na-'mo-ro
feio,290,'fei-o
universo,290,u-ni-'ver-so
situação,290,si-tu-a-'ção
filme,290,'fil-me
abandono,289,a-ban-'do-no
disfarçar,289,dis-far-'çar
verso,289,'ver-so
mole,289,'mo-le
cola,289,'co-la
conseguir,288,con-se-'guir
casado,288,ca-'sa-do
deitar,288,dei-'tar
parede,287,pa-'re-de
contribuição,287,con-tri-bui-'ção
cobra,287,'co-bra
uh,287,'uh
ingratidão,286,in-gra-ti-'dão
brasa,286,'bra-sa
descobrir,285,des-co-'brir
mãezinha,285,mãe-'zi-nha
sertaneja,285,ser-ta-'ne-ja
banho,284,'ba-nho
fraco,284,'fra-co
par,283,'par
magoado,282,ma-go-'a-do
chamo,281,'cha-mo
porto,281,'por-to
paro,280,'pa-ro
dura,279,'du-ra
feita,279,'fei-ta
companheira,278,com-pa-'nhei-ra
fracasso,278,fra-'cas-so
cowboy,278,cow-'boy
maneira,276,ma-'nei-ra
jogado,276,jo-'ga-do
cigarro,276,ci-'gar-ro
receber,275,re-ce-'ber
calado,274,ca-'la-do
avisar,274,a-vi-'sar
balança,274,ba-'lan-ça
inferno,273,in-'fer-no
usar,273,u-'sar
baixinho,273,bai-'xi-nho
infeliz,272,in-fe-'liz
esquina,271,es-'qui-na
fio,271,'fi-o
resposta,270,res-'pos-ta
cantinho,270,can-'ti-nho
mentir,270,men-'tir
guia,270,'gui-a
aço,269,'a-ço
chover,269,cho-'ver
convencer,269,con-ven-'cer
valente,268,va-'len-te
bora,268,'bo-ra
brinquedo,267,brin-'que-do
coitado,267,coi-'ta-do
danada,267,da-'na-da
doida,267,'doi-da
encher,266,en-'cher
idade,266,i-'da-de
vista,266,'vis-ta
pisa,266,'pi-sa
gelo,266,'ge-lo
nó,265,'nó
